Group,Replicate,n,Mean,SD,SE,Median,IQR,Min,Max,CV%,CI95±
C,1,14.0000,0.3725,0.0218,0.0058,0.3735,0.0278,0.3390,0.4140,5.8454,0.0114
C,2,13.0000,0.4032,0.0262,0.0073,0.3970,0.0260,0.3610,0.4510,6.4869,0.0142
C,3,14.0000,0.3811,0.0224,0.0060,0.3770,0.0290,0.3520,0.4290,5.8648,0.0117
G-0.5,1,14.0000,0.3499,0.0143,0.0038,0.3490,0.0177,0.3280,0.3790,4.0976,0.0075
G-0.5,2,13.0000,0.3466,0.0235,0.0065,0.3480,0.0230,0.3080,0.3860,6.7758,0.0128
G-0.5,3,13.0000,0.3493,0.0158,0.0044,0.3490,0.0190,0.3230,0.3730,4.5346,0.0086
G-5,1,11.0000,0.3392,0.0279,0.0084,0.3440,0.0345,0.2880,0.3740,8.2392,0.0165
G-5,2,8.0000,0.3221,0.0375,0.0133,0.3315,0.0182,0.2470,0.3620,11.6492,0.0260
G-5,3,17.0000,0.3213,0.0274,0.0066,0.3180,0.0450,0.2780,0.3640,8.5178,0.0130
P-0.5,1,12.0000,0.3557,0.0237,0.0068,0.3525,0.0445,0.3200,0.3900,6.6679,0.0134
P-0.5,2,11.0000,0.3579,0.0215,0.0065,0.3650,0.0105,0.3030,0.3760,6.0113,0.0127
P-0.5,3,12.0000,0.3631,0.0200,0.0058,0.3670,0.0250,0.3240,0.3940,5.5127,0.0113
P-5,1,15.0000,0.3413,0.0205,0.0053,0.3440,0.0165,0.3030,0.3800,5.9945,0.0104
P-5,2,13.0000,0.3535,0.0233,0.0065,0.3550,0.0150,0.2860,0.3810,6.5932,0.0127
P-5,3,13.0000,0.3441,0.0229,0.0063,0.3400,0.0360,0.3180,0.3850,6.6449,0.0124
