Group1,Group2,U_statistic,p_raw,p_adj_bonferroni,Mean_diff,Significant
C,G-0.5,1456.000000,0.000000,0.000000,0.036570,Yes
C,G-5,1393.500000,0.000000,0.000000,0.058251,Yes
C,P-0.5,1114.000000,0.000037,0.000367,0.026281,Yes
C,P-5,1482.000000,0.000000,0.000000,0.039171,Yes
G-0.5,G-5,1026.000000,0.001477,0.014766,0.021681,Yes
G-0.5,P-0.5,478.000000,0.018612,0.186122,-0.010289,No
G-0.5,P-5,845.500000,0.813245,1.000000,0.002601,No
G-5,P-0.5,235.500000,0.000006,0.000058,-0.031970,Yes
G-5,P-5,470.500000,0.006396,0.063965,-0.019080,No
P-0.5,P-5,958.500000,0.012177,0.121769,0.012890,No
