ID,Mean Speed (BL/s),Max Speed (BL/s),Total Distance (BL),Freezing Ratio (%),Mean Dist to Center (BL),Time in Center (%),Mean Acceleration
Control-1,1.632,9.839,489.699,3.967,4.756,18.689,24.785
Control-2,0.872,7.311,261.735,9.756,2.669,70.022,12.753
Control-3,1.629,9.623,488.787,6.022,3.796,57.8,20.416
Control-4,0.974,6.527,292.349,6.044,2.674,78.833,16.691
Control-5,2.745,10.036,823.489,2.722,4.972,17.167,20.974
Control-6,0.776,5.087,232.742,5.122,3.149,70.344,13.482
Control-7,2.269,8.614,680.832,11.478,3.32,76.411,15.583
Control-8,3.059,7.559,917.698,0.111,4.001,53.178,14.978
Control-9,1.232,6.851,369.612,11.478,4.105,48.433,12.284
50mg/kg-1,1.003,7.745,300.765,15.544,4.908,2.5,9.356
50mg/kg-2,2.039,10.066,611.678,9.711,4.683,14.322,15.716
50mg/kg-3,2.097,9.35,503.209,5.444,4.434,16.75,16.896
50mg/kg-4,1.522,8.703,456.505,11.589,5.064,2.422,13.598
50mg/kg-5,0.667,4.319,200.082,11.933,5.017,1.556,6.745
50mg/kg-6,0.569,3.877,170.808,13.989,4.517,80.311,6.102
50mg/kg-7,1.447,7.829,433.96,2.422,4.318,37.856,10.423
50mg/kg-8,1.32,7.029,395.918,2.611,3.202,74.256,10.317
50mg/kg-9,1.641,8.488,492.43,0.8,3.732,59.533,14.932
250mg/kg-1,1.193,6.62,357.777,6.167,4.273,35.878,9.104
250mg/kg-2,0.511,3.864,153.301,15.956,5.376,3.533,4.679
250mg/kg-3,2.0274,9.142,607.958,16.711,4.787,1.122,19.035
250mg/kg-4,1.633,7.44,489.932,7.544,4.444,29.522,13.348
250mg/kg-5,2.125,9.332,637.53,6.589,4.978,5.778,15.857
250mg/kg-6,0.882,6.654,264.57,9.633,4.059,56.511,7.663
250mg/kg-7,1.4,7.322,420.095,1.233,4.012,50.678,11.597
250mg/kg-8,1.121,7.204,573.48,10.448,4.277,32.692,8.871
250mg/kg-9,0.903,6.848,367.627,14.997,5.453,5.002,7.928
1250mg/kg-1,0.952,6.496,224.386,5.205,4.858,29.293,16.955
1250mg/kg-2,0.862,6.968,258.546,5.767,3.975,27.067,14.345
1250mg/kg-3,0.934,8.242,280.258,39.689,3.975,53.167,15.435
1250mg/kg-4,0.362,3.25,108.635,11.078,4.272,1.156,7.5
1250mg/kg-5,0.679,5.321,203.812,25.378,4.56,2.1,10.742
1250mg/kg-6,1.269,6.83,380.606,21.189,4.963,0.967,18.34
1250mg/kg-7,0.571,4.266,298.365,23.557,5.228,1.5,6.032
1250mg/kg-8,1.135,6.235,340.453,11.778,3.987,44.878,9.077
1250mg/kg-9,1.534,8.025,460.213,14.711,4.752,30.711,12.385
